#START7777
#--------------------------------------------------------------------------------------------------
#  ´Ü±â¿¹º¸ À°»ó Á¶È¸ [ÀÔ·ÂÀÎ¼öÇüÅÂ][¿¹] ?reg=&tmfc1=2013121018&tmfc2=2013121106&disp=0&help=1
#--------------------------------------------------------------------------------------------------
#  1. REG_ID   : ¿¹º¸±¸¿ªÄÚµå
#  2. TM_FC    : ¹ßÇ¥½Ã°¢(³â¿ùÀÏ½ÃºÐ,KST)
#  3. TM_EF    : ¹ßÈ¿½Ã°¢(³â¿ùÀÏ½ÃºÐ,KST)
#  4. MOD      : ±¸°£ (A01(24½Ã°£),A02(12½Ã°£))
#  5. NE       : ¹ßÈ¿¹øÈ£
#  6. STN      : ¹ßÇ¥°ü¼­
#  7. C        : ¹ßÇ¥ÄÚµå
#  8. MAN_ID   : ¿¹º¸°üID
#  9. MAN_FC   : ¿¹º¸°ü¸í
# 10. W1       : Ç³Çâ1(16¹æÀ§)
# 11. T        : Ç³Çâ°æÇâ(1:-, 2:ÈÄ)
# 12. W2       : Ç³Çâ2(16¹æÀ§)
# 13. TA       : ±â¿Â
# 14. ST       : °­¼öÈ®·ü(%)
# 15. SKY      : ÇÏ´Ã»óÅÂÄÚµå (DB01(¸¼À½),DB02(±¸¸§Á¶±Ý),DB03(±¸¸§¸¹À½),DB04(Èå¸²))
# 16. PREP     : °­¼öÀ¯¹«ÄÚµå (1(ºñ),2(ºñ/´«),4(´«/ºñ),3(´«))
# 17. WF       : ¿¹º¸
#--------------------------------------------------------------------------------------------------
# REG_ID TM_FC        TM_EF        MOD NE STN C MAN_ID       MAN_FC     W1 T W2  TA  ST SKY  PREP WF
11A00101 202405141100 202405141200 A02  0 109 2 lan98        ÀÌÇý¶õ     SE 1 S   20   0 DB01    0 "¸¼À½"
11A00101 202405141100 202405150000 A02  1 109 2 lan98        ÀÌÇý¶õ     NW 1 N   12  60 DB04    1 "Èå¸®°í ºñ"
11A00101 202405141100 202405151200 A02  2 109 2 lan98        ÀÌÇý¶õ     N  1 NE  17  60 DB03    1 "±¸¸§¸¹°í ÇÑ¶§ ºñ °÷"
11A00101 202405141100 202405160000 A02  3 109 2 lan98        ÀÌÇý¶õ     W  1 NW  11   0 DB01    0 "¸¼À½"
11A00101 202405141100 202405161200 A02  4 109 2 lan98        ÀÌÇý¶õ     W  1 NW  18   0 DB01    0 "¸¼À½"
11A00101 202405141100 202405170000 A02  5 109 2 lan98        ÀÌÇý¶õ     SW 1 W   13   0 DB01    0 "¸¼À½"
11A00101 202405141100 202405171200 A02  6 109 2 lan98        ÀÌÇý¶õ     SE 1 S   18   0 DB01    0 "¸¼À½"
11B10101 202405141100 202405141200 A02  0 109 2 lan98        ÀÌÇý¶õ     SW 1 W   24   0 DB01    0 "¸¼À½"
11B10101 202405141100 202405150000 A02  1 109 2 lan98        ÀÌÇý¶õ     S  1 SW  14  60 DB03    1 "±¸¸§¸¹°í ÇÑ¶§ ºñ °÷"
11B10101 202405141100 202405151200 A02  2 109 2 lan98        ÀÌÇý¶õ     N  1 NE  18  70 DB04    1 "Èå¸®°í ºñ"
11B10101 202405141100 202405160000 A02  3 109 2 lan98        ÀÌÇý¶õ     W  1 NW   9  10 DB03    0 "±¸¸§¸¹À½"
11B10101 202405141100 202405161200 A02  4 109 2 lan98        ÀÌÇý¶õ     W  1 NW  21   0 DB01    0 "¸¼À½"
11B10101 202405141100 202405170000 A02  5 109 2 lan98        ÀÌÇý¶õ     S  1 SW  12   0 DB01    0 "¸¼À½"
11B10101 202405141100 202405171200 A02  6 109 2 lan98        ÀÌÇý¶õ     SW 1 W   24   0 DB01    0 "¸¼À½"
11B10102 202405141100 202405141200 A02  0 109 2 lan98        ÀÌÇý¶õ     SW 1 W   26   0 DB01    0 "¸¼À½"
11B10102 202405141100 202405150000 A02  1 109 2 lan98        ÀÌÇý¶õ     S  1 SW  11  10 DB03    0 "±¸¸§¸¹À½"
11B10102 202405141100 202405151200 A02  2 109 2 lan98        ÀÌÇý¶õ     N  1 NE  18  70 DB04    1 "Èå¸®°í ºñ"
11B10102 202405141100 202405160000 A02  3 109 2 lan98        ÀÌÇý¶õ     W  1 NW   7  10 DB03    0 "±¸¸§¸¹À½"
11B10102 202405141100 202405161200 A02  4 109 2 lan98        ÀÌÇý¶õ     W  1 NW  22   0 DB01    0 "¸¼À½"
11B10102 202405141100 202405170000 A02  5 109 2 lan98        ÀÌÇý¶õ     S  1 SW   9   0 DB01    0 "¸¼À½"
11B10102 202405141100 202405171200 A02  6 109 2 lan98        ÀÌÇý¶õ     SW 1 W   25   0 DB01    0 "¸¼À½"
11B10103 202405141100 202405141200 A02  0 109 2 lan98        ÀÌÇý¶õ     SW 1 W   24   0 DB01    0 "¸¼À½"
